precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ciudad,zona
67000.0,8.0,2,320.0,2017,3,140.0,0,-17.769,-63.066,Casa,Santa Cruz de la Sierra,Este
67000.0,5.0,2,91.0,2018,2,91.0,0,-17.804,-63.157,Departamento,Santa Cruz de la Sierra,Sur
68000.0,7.135416666666667,2,193.0,2015,3,87.0,0,-17.836,-63.245,Casa,Santa Cruz de la Sierra,Suroeste
68000.0,2.0,1,62.83,2016,1,62.83,0,-17.755,-63.196,Departamento,Santa Cruz de la Sierra,Equipetrol/NorOeste
68000.0,8.0,2,300.0,2022,3,110.0,0,-17.653,-63.173,Casa,Santa Cruz de la Sierra,Norte
68000.0,5.0,2,250.0,2021,3,98.0,2,-17.792,-63.093,Casa,Santa Cruz de la Sierra,Este
68000.0,7.135416666666667,1,59.5,2022,1,59.5,0,-17.787,-63.221,Departamento,Santa Cruz de la Sierra,Oeste
68000.0,6.0,2,336.0,2023,3,198.0,0,-17.846,-63.097,Casa,Santa Cruz de la Sierra,Sureste
68000.0,5.0,1,68.0,2017,2,68.0,1,-17.792,-63.224,Departamento,Santa Cruz de la Sierra,Oeste
68000.0,7.0,2,260.5,2019,3,120.0,0,-17.791,-63.089,Casa,Santa Cruz de la Sierra,Este
68000.0,8.0,2,260.5,2019,3,120.0,0,-17.791,-63.089,Casa,Santa Cruz de la Sierra,Este
68000.0,8.0,2,260.5,2019,3,120.0,0,-17.791,-63.089,Casa,Santa Cruz de la Sierra,Este
68000.0,7.135416666666667,2,260.5,2019,3,120.0,0,-17.791,-63.089,Casa,Santa Cruz de la Sierra,Este
68000.0,8.0,3,360.0,2020,3,180.0,0,-17.731,-63.078,Casa,Santa Cruz de la Sierra,Este
68000.0,8.0,2,240.0,2020,3,200.0,0,-17.847,-63.275,Casa,Santa Cruz de la Sierra,Sur
68500.0,5.0,2,85.0,2018,2,85.0,0,-17.804,-63.157,Departamento,Santa Cruz de la Sierra,Sur
68660.0,9.0,2,78.4,2022,2,78.4,0,-17.764,-63.248,Departamento,Porongo,Urubo
69000.0,7.135416666666667,1,56.96,2018,1,56.96,0,-17.792,-63.176,Departamento,Santa Cruz de la Sierra,Sur
69000.0,3.0,1,35.0,2016,1,35.0,12,-17.758,-63.199,Estudio/Monoambiente,Santa Cruz de la Sierra,Equipetrol/NorOeste
